IP_ADDRESS,TEST_DATE,TIME_ZONE,DOWNLOAD_MEGABITS,UPLOAD_MEGABITS,LATENCY_MS,SERVER_NAME,DISTANCE_MILES,CONNECTION_MODE,SERVER_COUNT,WEATHER,TEMPERATURE,CONNECTED_DEVICES,CONNECTION_TYPE,DOWNLOAD_INDICATOR,UPLOAD_INDICATOR,PROVIDER
181.135.34.76,8/1/2021 19:08,GMT,107.64,13.8,152,Madrid,5000,multi,1,nublado,23,2,cable,0.897,2.76,Tigo
181.135.34.76,8/1/2021 19:06,GMT,138.34,13.79,15,Bogotá,150,multi,1,nublado,23,2,cable,1.152833333,2.758,Tigo
181.135.34.76,8/1/2021 19:05,GMT,136.56,13.85,9,Medellín,0,multi,4,nublado,23,2,cable,1.138,2.77,Tigo
181.135.34.76,8/1/2021 9:09,GMT,132.66,13.63,153,Madrid,5000,multi,1,muy nublado,23,1,cable,1.1055,2.726,Tigo
181.135.34.76,8/1/2021 9:08,GMT,128.29,13.71,16,Bogotá,150,multi,1,muy nublado,23,1,cable,1.069083333,2.742,Tigo
181.135.34.76,8/1/2021 9:07,GMT,136.57,13.85,9,Medellín,0,multi,4,muy nublado,23,1,cable,1.138083333,2.77,Tigo
181.135.34.76,7/31/2021 19:13,GMT,109.68,12.23,153,Madrid,5000,multi,1,parcialmente nublado,22,1,cable,0.914,2.446,Tigo
181.135.34.76,7/31/2021 19:12,GMT,138.37,13.84,17,Bogotá,150,multi,1,parcialmente nublado,22,1,cable,1.153083333,2.768,Tigo
181.135.34.76,7/31/2021 19:11,GMT,137.37,13.81,9,Medellín,0,multi,4,parcialmente nublado,22,1,cable,1.14475,2.762,Tigo
181.135.34.76,7/31/2021 14:10,GMT,129.03,13.71,156,Madrid,5000,multi,1,parcialmente nublado,30,1,cable,1.07525,2.742,Tigo
181.135.34.76,7/31/2021 14:09,GMT,138.18,13.84,17,Bogotá,150,multi,1,parcialmente nublado,30,1,cable,1.1515,2.768,Tigo
181.135.34.76,7/31/2021 14:08,GMT,127.94,13.84,10,Medellín,0,multi,4,parcialmente nublado,30,1,cable,1.066166667,2.768,Tigo
181.135.34.76,7/31/2021 9:13,GMT,100.58,13.66,158,Madrid,5000,multi,1,parcialmente nublado,25,1,cable,0.838166667,2.732,Tigo
181.135.34.76,7/31/2021 9:12,GMT,138.18,13.84,18,Bogotá,150,multi,1,parcialmente nublado,25,1,cable,1.1515,2.768,Tigo
181.135.34.76,7/31/2021 9:11,GMT,137.96,13.84,9,Medellín,0,multi,4,parcialmente nublado,25,1,cable,1.149666667,2.768,Tigo
181.135.34.76,7/30/2021 19:10,GMT,76.69,13.63,148,Madrid,5000,multi,1,parcialmente nublado,23,2,cable,0.639083333,2.726,Tigo
181.135.34.76,7/30/2021 19:08,GMT,137.46,13.81,37,Bogotá,150,multi,1,parcialmente nublado,23,2,cable,1.1455,2.762,Tigo
181.135.34.76,7/30/2021 19:07,GMT,136.96,13.81,9,Medellín,0,multi,4,parcialmente nublado,23,2,cable,1.141333333,2.762,Tigo
181.135.34.76,7/30/2021 14:09,GMT,122.02,12.73,157,Madrid,5000,multi,1,parcialmente nublado,28,1,cable,1.016833333,2.546,Tigo
181.135.34.76,7/30/2021 14:07,GMT,138.25,13.84,19,Bogotá,150,multi,1,parcialmente nublado,28,1,cable,1.152083333,2.768,Tigo
181.135.34.76,7/30/2021 14:06,GMT,135.62,13.83,8,Medellín,0,multi,4,parcialmente nublado,28,1,cable,1.130166667,2.766,Tigo
181.135.34.76,7/30/2021 9:07,GMT,101.53,13.76,156,Madrid,5000,multi,1,parcialmente nublado,22,1,cable,0.846083333,2.752,Tigo
181.135.34.76,7/30/2021 9:06,GMT,138.31,13.81,37,Bogotá,150,multi,1,parcialmente nublado,22,1,cable,1.152583333,2.762,Tigo
181.135.34.76,7/30/2021 9:05,GMT,134.41,13.81,9,Medellín,0,multi,4,parcialmente nublado,22,1,cable,1.120083333,2.762,Tigo
