IP_ADDRESS,TEST_DATE,TIME_ZONE,DOWNLOAD_MEGABITS,UPLOAD_MEGABITS,LATENCY_MS,SERVER_NAME,DISTANCE_MILES,CONNECTION_MODE,SERVER_COUNT,WEATHER,TEMPERATURE,CONNECTED_DEVICES,CONNECTION_TYPE
191.88.72.92,08/03/2021 19:05,GMT,27.06,8.26,19,Bogotá,150,multi,1,Nublado,22,3,Cable
191.88.72.92,08/03/2021 19:04,GMT,29.04,8.24,13,Medellín,0,multi,1,Nublado,22,3,Cable
191.88.72.92,08/03/2021 19:04,GMT,30.12,8.28,170,Madrid,5000,multi,1,Nublado,22,3,Cable
191.88.72.92,08/03/2021 19:03,GMT,9.73,7.83,182,Madrid,5000,multi,1,Nublado,22,3,Wifi
191.88.72.92,08/03/2021 19:02,GMT,11.04,6.73,17,Medellín,0,multi,1,Nublado,22,3,Wifi
191.88.72.92,08/03/2021 19:01,GMT,29.07,3.15,30,Bogotá,150,multi,1,Nublado,22,3,Wifi
191.88.72.92,08/03/2021 14:00,GMT,29.16,8.21,9,Medellín,0,multi,4,Tormentas eléctricas aisladas,25,2,Wifi
191.88.72.92,08/03/2021 13:53,GMT,23.11,7.22,20,Bogotá,150,multi,1,Tormentas eléctricas aisladas,25,2,Wifi
191.88.72.92,08/03/2021 13:52,GMT,30.50,8.30,168,Madrid,5000,multi,1,Tormentas eléctricas aisladas,25,2,Cable
191.88.72.92,08/03/2021 13:52,GMT,31.09,8.05,7,Medellín,0,multi,1,Tormentas eléctricas aisladas,25,2,Cable
191.88.72.92,08/03/2021 13:51,GMT,30.73,8.23,16,Bogotá,150,multi,1,Tormentas eléctricas aisladas,25,2,Cable
191.88.72.92,08/03/2021 9:14,GMT,20.59,8.19,10,Medellín,0,multi,1,Muy nublado,23,5,Cable
191.88.72.92,08/03/2021 9:14,GMT,30.29,8.26,18,Bogotá,150,multi,1,Muy nublado,23,5,Cable
191.88.72.92,08/03/2021 9:13,GMT,30.90,8.09,176,Madrid,5000,multi,1,Muy nublado,23,5,Cable
191.88.72.92,08/03/2021 9:11,GMT,16.59,7.96,172,Madrid,5000,multi,1,Muy nublado,23,5,Wifi
191.88.72.92,08/03/2021 9:06,GMT,7.22,2.28,10,Medellín,0,multi,1,Muy nublado,23,5,Wifi
191.88.72.92,08/03/2021 9:04,GMT,3.09,0.37,23,Bogotá,150,multi,1,Muy nublado,23,5,Wifi
191.88.72.92,08/02/2021 14:08,GMT,11.17,7.12,176,Madrid,5000,multi,1,Muy nublado,29,5,Wifi
191.88.72.92,08/02/2021 14:06,GMT,29.48,4.65,10,Medellín,0,multi,1,Muy nublado,29,5,Wifi
191.88.72.92,08/02/2021 14:05,GMT,25.39,7.10,23,Bogotá,150,multi,1,Muy nublado,29,5,Wifi
