IP_ADDRESS,TEST_DATE,TIME_ZONE,DOWNLOAD_MEGABITS,UPLOAD_MEGABITS,LATENCY_MS,SERVER_NAME,DISTANCE_MILES,CONNECTION_MODE,SERVER_COUNT,WEATHER,TEMPERATURE,CONNECTED_DEVICES,CONNECTION_TYPE
186.119.95.174,08/03/2021 19:08,GMT,7.19,0.81,193,Madrid,5100,multi,1,Nublado,18,1,Cable
186.119.95.174,08/03/2021 19:05,GMT,8.62,0.72,41,Medellín,100,multi,1,Nublado,18,1,Cable
186.119.95.174,08/03/2021 19:00,GMT,11.7,0.79,37,Bogotá,200,multi,1,Nublado,18,1,Cable
186.119.83.127,08/03/2021 19:07,GMT,2.39,0.81,192,Madrid,5100,multi,1,Nublado,18,1,Wifi
186.119.83.127,08/03/2021 19:04,GMT,11.39,0.83,41,Medellín,100,multi,1,Nublado,18,1,Wifi
186.119.83.127,08/03/2021 19:02,GMT,11.35,0.81,39,Bogotá,200,multi,1,Nublado,18,1,Wifi
186.119.95.174,08/03/2021 14:09,GMT,8.54,0.77,194,Madrid,5100,multi,1,Nublado,16,1,Cable
186.119.95.174,08/03/2021 14:05,GMT,10.91,0.72,40,Medellín,100,multi,1,Nublado,16,1,Cable
186.119.95.174,08/03/2021 13:00,GMT,10.85,0.71,36,Bogotá,200,multi,1,Nublado,16,1,Cable
186.119.83.127,08/03/2021 14:07,GMT,11.4,0.67,192,Madrid,5100,multi,1,Nublado,16,1,Wifi
186.119.83.127,08/03/2021 14:04,GMT,11.4,0.88,40,Medellín,100,multi,1,Nublado,16,1,Wifi
186.119.83.127,08/03/2021 14:01,GMT,10.9,0.75,37,Bogotá,200,multi,1,Nublado,16,1,Wifi
186.119.95.174,08/03/2021 9:06,GMT,07.06,0.76,200,Madrid,5100,multi,1,Nublado,16,1,Cable
186.119.95.174,08/03/2021 9:03,GMT,11.36,0.77,42,Medellín,100,multi,1,Nublado,16,1,Cable
186.119.95.174,08/03/2021 9:00,GMT,7.49,0.83,36,Bogotá,200,multi,1,Nublado,16,1,Cable
186.119.83.127,08/03/2021 9:07,GMT,05.08,0.76,205,Madrid,5100,multi,1,Nublado,16,1,Wifi
186.119.83.127,08/03/2021 9:05,GMT,9.81,0.8,70,Medellín,100,multi,1,Nublado,16,1,Wifi
186.119.83.127,08/03/2021 9:00,GMT,9.52,0.69,37,Bogotá,200,multi,1,Nublado,16,1,Wifi
186.119.95.174,08/02/2021 14:08,GMT,7.15,0.76,197,Madrid,5100,multi,1,Parcialmente nublado,19,1,Cable
186.119.95.174,08/02/2021 14:04,GMT,10.85,0.77,40,Medellín,100,multi,1,Parcialmente nublado,19,1,Cable
186.119.95.174,08/02/2021 14:00,GMT,11.41,0.79,36,Bogotá,200,multi,1,Parcialmente nublado,19,1,Cable
186.119.83.127,08/02/2021 14:07,GMT,7.43,0.74,188,Madrid,5100,multi,1,Parcialmente nublado,19,1,Wifi
186.119.83.127,08/02/2021 14:05,GMT,8.59,0.83,42,Medellín,100,multi,1,Parcialmente nublado,19,1,Wifi
186.119.83.127,08/02/2021 14:01,GMT,10.11,0.77,39,Bogotá,200,multi,1,Parcialmente nublado,19,1,Wifi
186.119.95.174,08/02/2021 9:07,GMT,10.3,0.78,197,Madrid,5100,multi,1,Muy nublado,17,1,Cable
186.119.95.174,08/02/2021 9:04,GMT,11.2,0.75,46,Medellín,100,multi,1,Muy nublado,17,1,Cable
186.119.95.174,08/02/2021 9:00,GMT,11.2,0.88,36,Bogotá,200,multi,1,Muy nublado,17,1,Cable
186.119.83.127,08/02/2021 9:08,GMT,8.66,0.79,189,Madrid,5100,multi,1,Muy nublado,17,1,Wifi
186.119.83.127,08/02/2021 9:06,GMT,10.47,0.72,47,Medellín,100,multi,1,Muy nublado,17,1,Wifi
186.119.83.127,08/02/2021 9:03,GMT,11.26,0.75,35,Bogotá,200,multi,1,Muy nublado,17,1,Wifi
186.119.95.174,08/01/2021 19:07,GMT,11.5,0.77,184,Madrid,5100,multi,1,Nublado,16,1,Cable
186.119.95.174,08/01/2021 19:04,GMT,10.8,0.89,41,Medellín,100,multi,1,Nublado,16,1,Cable
186.119.95.174,08/01/2021 19:00,GMT,11.3,0.81,36,Bogotá,200,multi,1,Nublado,16,1,Cable
186.119.83.127,08/01/2021 19:07,GMT,6.79,0.71,195,Madrid,5100,multi,1,Nublado,16,1,Wifi
186.119.83.127,08/01/2021 19:05,GMT,9.22,0.77,45,Medellín,100,multi,1,Nublado,16,1,Wifi
186.119.83.127,08/01/2021 19:02,GMT,10.65,0.77,36,Bogotá,200,multi,1,Nublado,16,1,Wifi
186.119.95.174,08/01/2021 14:10,GMT,8.13,0.68,202,Madrid,5100,multi,1,Muy nublado,22,1,Cable
186.119.95.174,08/01/2021 14:06,GMT,11.2,0.82,43,Medellín,100,multi,1,Muy nublado,22,1,Cable
186.119.95.174,08/01/2021 14:02,GMT,11.3,0.79,36,Bogotá,200,multi,1,Muy nublado,22,1,Cable
186.119.83.127,08/01/2021 14:09,GMT,8.69,0.79,188,Madrid,5100,multi,1,Muy nubblado,22,1,Wifi
186.119.83.127,08/01/2021 14:07,GMT,10.79,0.75,40,Medellín,100,multi,1,Muy nubblado,22,1,Wifi
186.119.83.127,08/01/2021 14:03,GMT,11.28,0.76,37,Bogotá,200,multi,1,Muy nubblado,22,1,Wifi
186.119.95.174,08/01/2021 9:06,GMT,10.66,0.8,190,Madrid,5100,multi,1,Parcialmente nublado,19,1,Cable
186.119.95.174,08/01/2021 9:03,GMT,10.86,0.8,44,Medellín,100,multi,1,Parcialmente nublado,19,1,Cable
186.119.95.174,08/01/2021 9:00,GMT,10.77,0.84,37,Bogotá,200,multi,1,Parcialmente nublado,19,1,Cable
186.119.83.127,08/01/2021 9:09,GMT,9.18,0.8,194,Madrid,5100,multi,1,Parcialmente nublado,19,1,Wifi
186.119.83.127,08/01/2021 9:05,GMT,10.69,0.75,47,Medellín,100,multi,1,Parcialmente nublado,19,1,Wifi
186.119.83.127,08/01/2021 9:02,GMT,11.42,0.81,37,Bogotá,200,multi,1,Parcialmente nublado,19,1,Wifi
186.119.95.174,07/31/2021 19:05,GMT,11.3,0.76,191,Madrid,5100,multi,1,Parcialmente nublado,16,1,Cable
186.119.95.174,07/31/2021 19:03,GMT,11.4,0.76,41,Medellín,100,multi,1,Parcialmente nublado,16,1,Cable
186.119.95.174,07/31/2021 19:00,GMT,11.5,0.74,36,Bogotá,200,multi,1,Parcialmente nublado,16,1,Cable
186.119.83.127,07/31/2021 19:06,GMT,10.64,0.77,193,Madrid,5100,multi,1,Parcialmente nublado,16,1,Wifi
186.119.83.127,07/31/2021 19:04,GMT,11.36,0.86,40,Medellín,100,multi,1,Parcialmente nublado,16,1,Wifi
186.119.83.127,07/31/2021 19:00,GMT,10.94,0.81,37,Bogotá,200,multi,1,Parcialmente nublado,16,1,Wifi
186.119.95.174,07/31/2021 14:07,GMT,11.4,0.79,210,Madrid,5100,multi,1,Soleado,24,1,Cable
